district,facility,date
kaoma dho,zns mangango,2009-05-09
kaoma dho,mayukwayukwa 1,2009-05-09
kaoma dho,mayukwayukwa 2 (aha),2009-05-09
kaoma dho,nyambi 1,2009-05-09
kaoma dho,nyambi 2,2009-05-11
kaoma dho,kaaba,2009-05-09
kaoma dho,winda,2009-05-09
kaoma dho,kaaba,2009-06-04
kaoma dho,zns mangango,2009-06-03
kaoma dho,mulamba,2009-05-04
kaoma dho,kaoma urban,2009-06-04
kaoma dho,mayukwayukwa 1,2009-06-05
kaoma dho,mayukwayukwa 2 (aha),2009-06-08
kaoma dho,namilangi,2009-06-05
kaoma dho,kasabi,2009-06-05
kaoma dho,chitwa,2009-06-05
kaoma dho,mwanambuyu,2009-06-05
kaoma dho,mulwa,2009-06-05
kaoma dho,kasimba,2009-06-05
kaoma dho,nyambi 1,2009-06-05
kaoma dho,nyambi 2,2009-06-05
kaoma dho,katunda,2009-06-05
kaoma dho,kaoma district hospital,2009-06-05
kaoma dho,nakayembe,2009-06-08
kaoma dho,luena camp,2009-06-05
kaoma dho,luampa,2009-06-04
kaoma dho,saint josephs,2009-06-05
kaoma dho,kasimba,2009-06-05
kaoma dho,njonjolo,2009-06-05
kaoma dho,afumba,2009-06-05
kaoma dho,nkeyema,2009-06-10
kaoma dho,lui,2009-06-08
kaoma dho,mangango,2009-07-01
kaoma dho,nkeyema,2009-07-01
kaoma dho,nyambi 1,2009-07-03
kaoma dho,mulwa,2009-07-03
kaoma dho,kasimba,2009-07-03
kaoma dho,chitwa,2009-07-03
kaoma dho,nakayembe,2009-07-03
kaoma dho,kaoma district hospital,2009-07-04
kaoma dho,kaoma urban,2009-07-07
kaoma dho,luena camp,2009-07-07
kaoma dho,katunda,2009-07-08
kaoma dho,mulamba,2009-07-08
kaoma dho,luampa,2009-07-08
kaoma dho,kasabi,2009-07-08
kaoma dho,kaaba,2009-07-08
kaoma dho,kabilamwandi,2009-07-08
kaoma dho,winda,2009-07-08
kaoma dho,namilangi,2009-07-08
kaoma dho,kahare,2009-07-08
kaoma dho,njonjolo,2009-07-08
kaoma dho,nkenga,2009-07-08
kaoma dho,lui,2009-07-09
kaoma dho,mayukwayukwa 1,2009-07-09
kaoma dho,mwanambuyu,2009-07-09
kaoma dho,mayukwayukwa 1,2009-07-09
kaoma dho,zns mangango,2009-07-09
kaoma dho,saint josephs,2009-07-09
kaoma dho,afumba,2009-07-09
kaoma dho,mangango,2009-08-04
kaoma dho,nkeyema,2009-08-04
kaoma dho,nyambi 1,2009-08-04
kaoma dho,mulwa,2009-08-04
kaoma dho,kasimba,2009-08-04
kaoma dho,nakayembe,2009-08-04
kaoma dho,kaoma district hospital,2009-08-04
kaoma dho,kaoma urban,2009-08-04
kaoma dho,luena camp,2009-08-04
kaoma dho,katunda,2009-08-02
kaoma dho,mulamba,2009-08-02
kaoma dho,luampa,2009-08-02
kaoma dho,nyambi 2,2009-08-02
kaoma dho,kasabi,2009-08-02
kaoma dho,kaaba,2009-08-09
kaoma dho,kabilamwandi,9-08-17
kaoma dho,winda,9-08-17
kaoma dho,namilangi,2009-08-02
kaoma dho,kandende,2009-08-02
kaoma dho,kahare,9-07-29
kaoma dho,njonjolo,2009-08-05
kaoma dho,lui,2009-08-05
kaoma dho,mayukwayukwa 2 (aha),2009-08-05
kaoma dho,mbanyutu,9-07-30
kaoma dho,mwanambuyu,2009-08-05
kaoma dho,mayukwayukwa 1,2009-08-05
kaoma dho,zns mangango,9-07-30
kaoma dho,saint josephs,2009-08-04
kaoma dho,afumba,2009-08-02
